epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.81,1.80545,2.62843,1.41861,0.47535,0.22933,0.20161,0.09918,1.65319,1.47216,1.30754,0.00022176,0.00022176,0.00022176
2,247.52,1.6698,1.71125,1.32797,0.5511,0.27286,0.25123,0.11907,1.64295,1.35748,1.32233,0.000435301,0.000435301,0.000435301
3,342.982,1.642,1.46706,1.32082,0.5333,0.31241,0.29403,0.14541,1.60467,1.25103,1.3049,0.000640036,0.000640036,0.000640036
4,437.918,1.62441,1.34609,1.31684,0.56288,0.34818,0.33387,0.16532,1.55982,1.18156,1.2928,0.00062738,0.00062738,0.00062738
5,538.002,1.59849,1.25382,1.30138,0.59872,0.33342,0.34343,0.1695,1.59766,1.17504,1.31475,0.000614174,0.000614174,0.000614174
6,635.457,1.56564,1.20345,1.28409,0.6222,0.33603,0.36351,0.18189,1.57263,1.11801,1.29119,0.000600967,0.000600967,0.000600967
7,736.09,1.56248,1.18439,1.28621,0.62207,0.36387,0.37916,0.19394,1.54503,1.11191,1.28296,0.00058776,0.00058776,0.00058776
8,832.72,1.54324,1.14851,1.26579,0.71234,0.36426,0.39127,0.1982,1.55958,1.12345,1.28958,0.000574554,0.000574554,0.000574554
9,927.552,1.54326,1.13242,1.2702,0.7433,0.36021,0.40312,0.201,1.54201,1.07154,1.2684,0.000561347,0.000561347,0.000561347
10,1022.8,1.53411,1.11087,1.26149,0.74647,0.37075,0.41973,0.21573,1.52557,1.06046,1.25418,0.000548141,0.000548141,0.000548141
11,1118.05,1.52288,1.09553,1.25824,0.70342,0.3902,0.42502,0.22307,1.52084,1.03683,1.27038,0.000534934,0.000534934,0.000534934
12,1212.98,1.50649,1.06872,1.247,0.6831,0.39965,0.42998,0.22346,1.52058,1.01349,1.25327,0.000521727,0.000521727,0.000521727
13,1308.82,1.50561,1.07062,1.24085,0.71081,0.41467,0.43914,0.23295,1.49699,1.00914,1.25519,0.000508521,0.000508521,0.000508521
14,1403.62,1.4979,1.05228,1.24173,0.70846,0.41669,0.45552,0.2395,1.50118,1.01423,1.24346,0.000495314,0.000495314,0.000495314
15,1499.13,1.48005,1.03619,1.23094,0.70192,0.43767,0.46897,0.24621,1.49096,1.00321,1.23067,0.000482108,0.000482108,0.000482108
16,1594.48,1.46703,1.01903,1.22852,0.71815,0.41482,0.46946,0.25019,1.48045,0.97564,1.24026,0.000468901,0.000468901,0.000468901
17,1689.55,1.47143,1.01149,1.2274,0.69986,0.42827,0.46954,0.24454,1.48923,0.96932,1.23706,0.000455694,0.000455694,0.000455694
18,1784.79,1.45448,0.99873,1.21876,0.75203,0.42981,0.48439,0.25783,1.47491,0.96695,1.22642,0.000442488,0.000442488,0.000442488
19,1880.4,1.4539,0.98809,1.2167,0.76702,0.42404,0.49409,0.2598,1.47415,0.94401,1.22093,0.000429281,0.000429281,0.000429281
