epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,585.752,1.61304,1.28489,1.44937,0,0,0,0,0,0,0,0.0683469,0.00166595,0.00166595
2,1098.61,1.66036,1.38847,1.49863,0,0,0,0,0,0,0,0.0366253,0.00327763,0.00327763
3,1595.42,1.62566,1.32827,1.47484,0,0,0,0,0,0,0,0.00484863,0.00483431,0.00483431
4,2059.98,1.58917,1.2589,1.44012,0,0,0,0,0,0,0,0.0047525,0.0047525,0.0047525
5,2523.52,1.56044,1.19936,1.42117,0,0,0,0,0,0,0,0.00467,0.00467,0.00467
6,3008.74,1.53621,1.15623,1.40486,0,0,0,0,0,0,0,0.0045875,0.0045875,0.0045875
7,3501.24,1.52417,1.12827,1.39511,0,0,0,0,0,0,0,0.004505,0.004505,0.004505
8,3964.35,1.50262,1.09784,1.38129,0,0,0,0,0,0,0,0.0044225,0.0044225,0.0044225
9,4428.18,1.48335,1.06983,1.36703,0,0,0,0,0,0,0,0.00434,0.00434,0.00434
10,4891.34,1.46897,1.04857,1.35787,0,0,0,0,0,0,0,0.0042575,0.0042575,0.0042575
11,5355.78,1.45707,1.02932,1.34802,0,0,0,0,0,0,0,0.004175,0.004175,0.004175
12,5819.04,1.44325,1.00936,1.33409,0,0,0,0,0,0,0,0.0040925,0.0040925,0.0040925
13,6282.74,1.42816,0.98671,1.32692,0,0,0,0,0,0,0,0.00401,0.00401,0.00401
14,6745.62,1.41735,0.96953,1.31957,0,0,0,0,0,0,0,0.0039275,0.0039275,0.0039275
15,7209.5,1.40759,0.95538,1.30766,0,0,0,0,0,0,0,0.003845,0.003845,0.003845
16,7672.58,1.39884,0.94314,1.30585,0,0,0,0,0,0,0,0.0037625,0.0037625,0.0037625
17,8135.82,1.38886,0.9292,1.29854,0,0,0,0,0,0,0,0.00368,0.00368,0.00368
18,8599.84,1.37794,0.91339,1.28919,0,0,0,0,0,0,0,0.0035975,0.0035975,0.0035975
19,9063.46,1.368,0.90401,1.28297,0,0,0,0,0,0,0,0.003515,0.003515,0.003515
20,9527.04,1.35917,0.89034,1.27617,0,0,0,0,0,0,0,0.0034325,0.0034325,0.0034325
21,9990.85,1.35131,0.87911,1.27358,0,0,0,0,0,0,0,0.00335,0.00335,0.00335
22,10454.5,1.34197,0.86837,1.26561,0,0,0,0,0,0,0,0.0032675,0.0032675,0.0032675
23,10917.6,1.33674,0.85796,1.25993,0,0,0,0,0,0,0,0.003185,0.003185,0.003185
24,11382.3,1.32799,0.84869,1.25725,0,0,0,0,0,0,0,0.0031025,0.0031025,0.0031025
25,11846.3,1.32043,0.84055,1.25004,0,0,0,0,0,0,0,0.00302,0.00302,0.00302
26,12310.9,1.30952,0.82758,1.24215,0,0,0,0,0,0,0,0.0029375,0.0029375,0.0029375
27,12774.9,1.30125,0.82065,1.24132,0,0,0,0,0,0,0,0.002855,0.002855,0.002855
28,13239.3,1.29772,0.81366,1.23615,0,0,0,0,0,0,0,0.0027725,0.0027725,0.0027725
29,13702.7,1.29298,0.80719,1.23119,0,0,0,0,0,0,0,0.00269,0.00269,0.00269
30,14166.9,1.28191,0.79921,1.2258,0,0,0,0,0,0,0,0.0026075,0.0026075,0.0026075
31,14630.2,1.27057,0.78743,1.21835,0,0,0,0,0,0,0,0.002525,0.002525,0.002525
32,15093.8,1.27249,0.78254,1.21906,0,0,0,0,0,0,0,0.0024425,0.0024425,0.0024425
